Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
10000,2.168028,54.37777777777778,-0.2655301,0.089343384,1.9747177741744302,1.9747177741744302,0.033425320299680934,0.44799888,0.10048836,9.9945886e-05,0.08344817,1.3787125,1.0
20000,2.0155299,20.583941605839417,-0.12327832,0.12952244,3.084861535956894,3.084861535956894,0.039681665369889874,0.48725462,0.101715945,9.984403e-05,0.1646108,0.6332283,1.0
30000,1.8936585,16.69,0.8135273,0.22804677,3.8089711338281633,3.8089711338281633,0.07295734773855657,0.6800919,0.09335493,9.974922e-05,0.17670682,0.6709631,1.0
40000,1.9175134,85.0,-1.3928648,0.9412519,1.9571076035499573,1.9571076035499573,0.3316341832280159,0.42201757,0.09978365,9.966205e-05,0.2667532,0.80288184,1.0
50000,1.8018377,109.0,-1.2435551,0.5311017,3.374805450439453,3.374805450439453,0.234391072144111,0.17919676,0.10494895,9.954802e-05,0.2385631,0.77016294,1.0
60000,1.7082957,72.0,-0.83696425,0.3166339,4.404636117128225,4.404636117128225,0.09214828593226579,0.14103965,0.10510127,9.944844e-05,0.20239103,0.6739231,1.0
70000,1.7099955,46.166666666666664,-1.0136681,0.2816021,2.4191441271040173,2.4191441271040173,0.11868923033277194,0.13034622,0.09682848,9.9351906e-05,0.25541416,0.549775,1.0
80000,1.614976,48.42424242424242,-0.24058774,0.27722722,3.2533934640161917,3.2533934640161917,0.07701322447621461,0.17783655,0.1080913,9.925008e-05,0.13129275,0.17750634,1.0
90000,1.5623769,48.074074074074076,-0.18124424,0.22754268,3.6474717722998724,3.6474717722998724,0.07656375953444729,0.085269496,0.099070095,9.9148274e-05,0.16755684,0.41519094,1.0
100000,1.4952215,24.177777777777777,0.070780575,0.24016628,3.8973259607950848,3.8973259607950848,0.0744166285213497,0.17343849,0.09751464,9.9049204e-05,0.1886057,0.45469102,1.0
110000,1.4898052,37.22222222222222,0.12510788,0.25625417,3.43242100433067,3.43242100433067,0.061385808478075045,0.06723896,0.09872458,9.8956654e-05,0.16711491,0.2665618,1.0
120000,1.4563594,82.28571428571429,-0.21117896,0.2448486,1.6357140370777674,1.6357140370777674,0.12538968419123972,0.05642885,0.100210324,9.885621e-05,0.14946245,0.16611308,1.0
130000,1.3084503,26.955555555555556,0.7682428,0.2985705,3.96602042873254,3.96602042873254,0.055758446700912845,0.24142843,0.09622494,9.875369e-05,0.15570605,0.22665724,1.0
140000,1.2871528,65.35087719298245,0.6900947,0.30812627,4.370131683760676,4.370131683760676,0.09659622817557177,0.21221814,0.09635693,9.86558e-05,0.13517681,0.12506601,1.0
150000,1.332446,121.75,0.39452654,0.2612082,3.5782153755426407,3.5782153755426407,0.1362323733046651,0.09044184,0.098002486,9.854671e-05,0.10916133,0.10153936,1.0
