Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
10000,2.1767294,117.26666666666667,-0.38643655,0.01166113,-6.963388880093892,-6.963388880093892,0.12282488619287808,0.30810076,0.09208383,4.9993516e-05,0.07581958,1.4226873,1.0
20000,2.0245388,303.27272727272725,-1.176534,0.07985615,-9.123659041794864,-9.123659041794864,0.656985961472277,0.050239127,0.0997086,4.9981212e-05,0.16694589,1.2923526,1.0
30000,1.8092066,493.15384615384613,-1.1959902,0.13341628,-10.62088268995285,-10.62088268995285,0.808050988582321,0.042733632,0.09952361,4.9968945e-05,0.15961015,1.348386,1.0
40000,1.6494057,300.7857142857143,-0.7580148,0.18088603,-2.628281246870756,-2.628281246870756,0.6242395486883147,0.055389512,0.09398325,4.9956725e-05,0.17763653,1.1706476,1.0
50000,1.5514722,486.0869565217391,-0.40578,0.2247452,-6.429955413584756,-6.429955413584756,0.8988974574755654,0.049480412,0.092893645,4.9943133e-05,0.2013407,0.8244937,1.0
60000,1.4772221,350.9642857142857,-0.2727929,0.22554713,-3.664285999172805,-3.664285999172805,0.6534810394480571,0.021964965,0.10487922,4.993078e-05,0.1924723,0.77502644,1.0
70000,1.4641678,368.04,-0.16596134,0.21535286,-1.1480926726249892,-1.1480926726249892,0.7914724364783615,0.039376218,0.09831386,4.9918784e-05,0.18313895,0.7600187,1.0
80000,1.432256,411.0,-0.078343466,0.20195054,-1.6291938478945571,-1.6291938478945571,0.8617582233093666,0.032417256,0.098234154,4.9905742e-05,0.16147442,0.7921087,1.0
90000,1.3232602,288.85185185185185,-0.03505112,0.2008225,-0.22337067099268276,-0.22337067099268276,0.5235808230920358,0.07682632,0.100747876,4.9894046e-05,0.17709795,0.5781388,1.0
100000,1.2029316,393.0769230769231,-0.01628241,0.19822004,-1.1128083230036365,-1.1128083230036365,0.7374671304683383,0.040152237,0.09918534,4.9882132e-05,0.17874154,0.5766672,1.0
110000,1.1964253,357.5,0.027115371,0.19197294,1.5186262478681982,1.5186262478681982,0.70102607964405,0.03254884,0.10456185,4.9869075e-05,0.17253499,0.5128331,1.0
