Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.1731648,-0.45795172,0.23073176,0.09840848,9.994881e-05,166.5,-1.2074018716812134,-1.2074018716812134,1.0
20000,2.0447385,-0.92083925,0.28127357,0.10141609,9.985538e-05,75.125,3.70662659406662,3.70662659406662,1.0
30000,1.9198083,-0.47625458,1.2587894,0.101764485,9.975749e-05,54.604651162790695,3.756209476915903,3.756209476915903,1.0
40000,1.806483,0.42437387,1.0994159,0.10588833,9.964878e-05,47.35616438356164,5.802437276056368,5.802437276056368,1.0
50000,1.7093654,1.4382168,1.5366755,0.09518843,9.955106e-05,41.57142857142857,5.611705068780594,5.611705068780594,1.0
60000,1.5308017,2.9983258,3.4801307,0.0994318,9.945508e-05,38.7979797979798,6.615747346490773,6.615747346490773,1.0
70000,1.4691958,3.4446478,2.5037289,0.10199274,9.9348836e-05,40.45161290322581,5.966786097821003,5.966786097821003,1.0
80000,1.4419994,2.9959888,0.78485173,0.098187625,9.9251025e-05,39.05913978494624,4.408891917556844,4.408891917556844,1.0
90000,1.4098859,3.3142688,0.8759289,0.10077475,9.9154924e-05,35.140625,3.913751350165649,3.913751350165649,1.0
100000,1.4534122,2.3527355,0.61916864,0.09338687,9.905394e-05,46.63963963963964,3.7096004829750404,3.7096004829750404,1.0
110000,1.5425856,2.2852066,0.6623726,0.101263665,9.895518e-05,33.9468085106383,3.591882105796568,3.591882105796568,1.0
120000,1.2929986,2.117489,0.30602914,0.09497447,9.885784e-05,39.89473684210526,4.6943597300299285,4.6943597300299285,1.0
130000,1.4379894,2.115939,0.53290474,0.1029837,9.875405e-05,39.78823529411765,4.403836626165053,4.403836626165053,1.0
140000,1.5402254,1.1840727,0.8870678,0.09798686,9.863848e-05,41.08108108108108,4.609641909599304,4.609641909599304,1.0
150000,1.4066443,2.0076125,0.47745448,0.09490842,9.854495e-05,29.43225806451613,4.002016365528107,4.002016365528107,1.0
160000,1.3002646,2.6128337,0.83617604,0.097231336,9.845798e-05,34.17293233082707,5.181693399759164,5.181693399759164,1.0
170000,1.358247,0.812357,1.0977006,0.100591086,9.8357224e-05,64.1,7.843060523271561,7.843060523271561,1.0
180000,1.3122059,0.5146407,0.1943045,0.10251675,9.825158e-05,46.44897959183673,3.7051727236533654,3.7051727236533654,1.0
190000,1.3982774,0.8730428,0.73527986,0.09977217,9.8138305e-05,33.509433962264154,6.53675883895946,6.53675883895946,1.0
200000,1.337565,0.5703301,0.23901199,0.09992364,9.804216e-05,31.183333333333334,2.900794416666031,2.900794416666031,1.0
