Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,2.1793244,79.0,-0.018695077,2.039093277454376,2.039093277454376,0.24115518,0.47930613,9.99597e-05,1.0
20000,2.032181,48.02197802197802,0.32531002,2.7902717687513516,2.7902717687513516,1.0735664,0.80745244,9.9896686e-05,1.0
30000,1.9628663,33.20454545454545,0.77229357,2.6330383385734994,2.6330383385734994,0.57573277,0.80239147,9.9833385e-05,1.0
40000,1.7596911,25.61849710982659,1.715289,2.845899828596611,2.845899828596611,0.5667578,0.7360575,9.9769546e-05,1.0
50000,1.6776456,22.3265306122449,2.3380082,3.9098748927794134,3.9098748927794134,0.5813379,0.8469698,9.96998e-05,1.0
60000,1.5800102,23.782894736842106,0.5808898,2.1701952034705565,2.1701952034705565,0.99553615,1.0730505,9.9629244e-05,1.0
70000,1.6146556,23.405594405594407,1.0714915,3.53006065391994,3.53006065391994,1.2646817,1.1291838,9.956509e-05,1.0
80000,1.608148,22.007194244604317,0.057597313,2.1972077350685564,2.1972077350685564,1.2598608,1.121659,9.949874e-05,1.0
90000,1.5546534,22.201058201058203,-0.6964445,-0.3124052537114997,-0.3124052537114997,0.7315531,0.89667416,9.943417e-05,1.0
100000,1.6628231,25.836363636363636,-0.7004217,-1.4141908900304274,-1.4141908900304274,0.3780031,0.7253292,9.936772e-05,1.0
110000,1.7367983,20.299145299145298,-0.7257745,-1.2764949926490947,-1.2764949926490947,0.09193722,0.9563383,9.92985e-05,1.0
120000,1.6910958,22.94610778443114,-0.40566185,-0.9984890083352963,-0.9984890083352963,0.24354257,0.83450055,9.9227014e-05,1.0
130000,1.7211783,26.83495145631068,-0.81089,-2.0317563431767316,-2.0317563431767316,0.43323353,0.8062605,9.9162135e-05,1.0
140000,1.7390108,26.672,-0.41624722,-0.581615984916687,-0.581615984916687,0.31364962,0.72926813,9.910232e-05,1.0
150000,1.7731999,23.588709677419356,-0.472943,-0.8773577087293796,-0.8773577087293796,0.24062817,0.6449321,9.903027e-05,1.0
160000,1.7804998,26.36986301369863,-0.6492491,-1.2370521191026078,-1.2370521191026078,0.28618845,0.7119068,9.896742e-05,1.0
170000,1.9180309,42.26881720430107,-0.58051634,-0.9784085897989171,-0.9784085897989171,0.087245435,0.5703449,9.8906195e-05,1.0
180000,1.9409481,47.540983606557376,-0.49899706,-1.1108852341526845,-1.1108852341526845,0.09340626,0.48306718,9.883253e-05,1.0
190000,2.0181587,56.0,-0.44144088,-0.9887619046937852,-0.9887619046937852,0.027978558,0.399934,9.8767145e-05,1.0
200000,2.028159,60.18518518518518,-0.45811388,-0.7254691433023523,-0.7254691433023523,0.039296657,0.46674863,9.8696466e-05,1.0
210000,2.0404367,72.9090909090909,-0.104796536,3.8841819736090573,3.8841819736090573,0.2711962,0.541523,9.863388e-05,1.0
220000,2.0714219,63.26,0.38952142,3.57789802064701,3.57789802064701,0.15262604,0.48228598,9.8570774e-05,1.0
230000,1.969497,67.8409090909091,1.2490406,2.6788314728254683,2.6788314728254683,0.35403612,0.55629975,9.850403e-05,1.0
240000,2.0150628,62.06818181818182,0.8295896,3.7225985689596697,3.7225985689596697,0.1387278,0.5663634,9.843117e-05,1.0
250000,1.8671852,40.62931034482759,2.1782675,4.176385185328023,4.176385185328023,0.19939186,0.55878764,9.8370445e-05,1.0
260000,1.7117039,36.7970297029703,2.9138217,4.155388147676762,4.155388147676762,0.29424036,0.5054962,9.8298304e-05,1.0
270000,1.9565358,57.38961038961039,1.7703341,2.9711282283831864,2.9711282283831864,0.1661487,0.48005438,9.8233075e-05,1.0
280000,2.0300865,74.38805970149254,1.5652597,2.3242238857852877,2.3242238857852877,0.27739432,0.5512631,9.816798e-05,1.0
290000,1.9441028,56.70786516853933,1.4403276,2.2513258704978427,2.2513258704978427,0.3662697,0.6794143,9.8101205e-05,1.0
300000,1.9804229,77.50943396226415,1.0706125,2.0244150903989686,2.0244150903989686,0.16010013,0.5267848,9.803254e-05,1.0
310000,1.8135464,41.76086956521739,2.3601034,3.332820544858555,3.332820544858555,0.20471264,0.6404125,9.796494e-05,1.0
320000,1.7896805,51.265151515151516,1.6711823,2.7227744218102075,2.7227744218102075,0.11243082,0.577126,9.7899414e-05,1.0
330000,1.7579257,39.843434343434346,2.253937,2.916221148105123,2.916221148105123,0.20801389,0.8133653,9.783766e-05,1.0
340000,1.8463728,45.74,1.8619897,3.341643364429474,3.341643364429474,0.23153496,0.7074177,9.77681e-05,1.0
350000,1.9420506,60.51546391752577,1.8868227,3.19260415310661,3.19260415310661,0.08639315,0.5219956,9.769798e-05,1.0
360000,1.9380056,50.51304347826087,0.81491315,1.0699912983438242,1.0699912983438242,0.114064574,0.6751334,9.7631106e-05,1.0
370000,1.7917289,45.58278145695364,2.1246023,3.3160309696829082,3.3160309696829082,0.11858566,0.6150083,9.756885e-05,1.0
380000,1.7757322,36.13333333333333,2.5457873,3.649966920053722,3.649966920053722,0.19869281,0.66713554,9.749646e-05,1.0
390000,1.6651666,38.83108108108108,1.822652,3.406801882225114,3.406801882225114,0.4371164,0.63427824,9.743131e-05,1.0
400000,1.7785674,60.2212389380531,1.7545725,2.8336519577861887,2.8336519577861887,0.23247765,0.62313956,9.7364304e-05,1.0
410000,1.660713,44.971014492753625,2.0999806,3.5518419377125094,3.5518419377125094,0.20364833,0.6710593,9.730171e-05,1.0
420000,1.6219542,41.747126436781606,2.6877978,3.4076724463495713,3.4076724463495713,0.21236669,0.5167486,9.7236494e-05,1.0
430000,1.5359384,37.63013698630137,2.878594,3.9982940289107236,3.9982940289107236,0.2489144,0.66864526,9.717209e-05,1.0
440000,1.6057482,41.66341463414634,2.2618973,2.838068674300231,2.838068674300231,0.25914216,0.80752885,9.710677e-05,1.0
450000,1.601661,38.84756097560975,2.8347905,3.6745793561382993,3.6745793561382993,0.122759506,0.549974,9.703943e-05,1.0
460000,1.6813598,72.1311475409836,1.1571779,1.3984590260708918,1.3984590260708918,0.3416642,0.63753086,9.696849e-05,1.0
470000,1.8002023,83.11904761904762,1.153764,2.845302303170049,2.845302303170049,0.1397181,0.65367496,9.6902084e-05,1.0
