Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,2.1724997,57.43589743589744,-0.3240577,1.6334900703185644,1.6334900703185644,0.6570953,0.10236254,9.994653e-05,1.0
20000,2.0394804,23.801724137931036,-0.1669467,3.439300521694381,3.439300521694381,1.2367435,0.097467646,9.985617e-05,1.0
30000,1.9281328,19.262295081967213,0.21288945,3.0088106296101556,3.0088106296101556,0.68733966,0.09529306,9.975287e-05,1.0
40000,1.8546295,58.6,-0.66119695,2.761888885498047,2.761888885498047,0.24898534,0.10499215,9.9646706e-05,1.0
50000,1.8267642,43.83870967741935,-0.29712582,4.1470593406308085,4.1470593406308085,0.32473636,0.09804708,9.9552606e-05,1.0
60000,1.7443918,44.61538461538461,0.12500884,3.9157906151734867,3.9157906151734867,0.3886821,0.09889674,9.945169e-05,1.0
70000,1.7389485,50.08,-0.1069024,3.147748794555664,3.147748794555664,0.29409143,0.09339718,9.934404e-05,1.0
80000,1.7458694,67.0,-0.19242267,2.2930267088943057,2.2930267088943057,0.16579099,0.099529326,9.924912e-05,1.0
90000,1.7081927,63.378787878787875,0.49283952,3.7078660405599155,3.7078660405599155,0.32245916,0.10560238,9.9147976e-05,1.0
100000,1.6450126,35.74809160305343,1.5146542,4.138971669655858,4.138971669655858,0.62027997,0.097242415,9.905028e-05,1.0
110000,1.6873146,76.08888888888889,0.6870981,4.07718213038011,4.07718213038011,0.37094387,0.09728657,9.895228e-05,1.0
120000,1.5902951,79.77272727272727,1.1891149,3.5806205399108655,3.5806205399108655,0.35424304,0.098560914,9.8843804e-05,1.0
130000,1.4814578,60.346666666666664,1.5375497,3.2977945263448514,3.2977945263448514,0.27953437,0.102711596,9.8741686e-05,1.0
140000,1.4955888,39.41525423728814,2.109898,4.119227052745172,4.119227052745172,0.43984234,0.09877467,9.8655175e-05,1.0
150000,1.4434217,68.64406779661017,1.562981,3.0036958969872574,3.0036958969872574,0.31833595,0.092459306,9.8553835e-05,1.0
160000,1.5732033,67.27184466019418,1.7881824,3.9684192659785444,3.9684192659785444,0.336175,0.09933777,9.844428e-05,1.0
170000,1.5368731,70.54255319148936,1.9077352,3.2265426059986684,3.2265426059986684,0.18961135,0.090971924,9.8350785e-05,1.0
180000,1.5426508,56.56488549618321,2.2458901,3.793303818865256,3.793303818865256,0.19057445,0.10034056,9.824957e-05,1.0
190000,1.4433757,63.73076923076923,2.2839677,3.4849847004963803,3.4849847004963803,0.2273295,0.092934065,9.81537e-05,1.0
200000,1.5026239,53.08403361344538,2.115915,2.9266110408205948,2.9266110408205948,0.18052074,0.0934362,9.804937e-05,1.0
210000,1.3717754,54.226027397260275,2.0768578,3.226995882905763,3.226995882905763,0.18288788,0.099347524,9.794645e-05,1.0
