Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
10000,2.1791291,111.0,-0.39430004,0.014578073,-5.374986619784914,-5.374986619784914,0.06463939353595598,0.36905444,0.10369137,4.9993356e-05,0.071439624,1.3752167,1.0
20000,2.0300162,324.0,-1.1966785,0.064368606,-9.239227443933487,-9.239227443933487,0.5896543987095356,0.050316177,0.09611447,4.9980754e-05,0.15213118,1.3904498,1.0
30000,1.7818748,355.09090909090907,-1.1385542,0.1262942,-6.503448887304827,-6.503448887304827,0.7103706879371946,0.049345784,0.11431368,4.9968057e-05,0.15915205,1.3958614,1.0
40000,1.639646,493.9375,-0.69298774,0.16018029,-8.139159376793991,-8.139159376793991,1.0939043904654682,0.034059234,0.096349694,4.9955503e-05,0.15325782,1.2034553,1.0
50000,1.5694709,457.48148148148147,-0.34484416,0.20574403,-4.178706180764503,-4.178706180764503,0.8736984036244124,0.13693866,0.096471995,4.9943126e-05,0.19570681,0.90510815,1.0
60000,1.5241361,384.2083333333333,-0.25567177,0.21709199,-3.769270086710331,-3.769270086710331,0.7948907562069666,0.10752958,0.098744504,4.9931143e-05,0.20548804,0.8048318,1.0
70000,1.4931483,382.4074074074074,-0.13442181,0.20859006,-2.170814504870387,-2.170814504870387,0.6676396835352664,0.058842957,0.10179144,4.9917948e-05,0.17090973,0.7591623,1.0
80000,1.4036973,391.5,-0.093580715,0.18689951,-2.054517200066593,-2.054517200066593,0.7772384171737279,0.023661971,0.09506359,4.990628e-05,0.16293254,0.82036144,1.0
90000,1.3136051,395.22222222222223,-0.09090188,0.18908541,-0.452198287756449,-0.452198287756449,0.6829379892721287,0.0382231,0.10130489,4.9894596e-05,0.1676006,0.65998083,1.0
100000,1.2661633,198.35294117647058,-0.07168818,0.19063863,-0.6788618042679193,-0.6788618042679193,0.35723812042680736,0.063506246,0.095682405,4.9881655e-05,0.17134091,0.5800596,1.0
110000,1.3004423,429.29411764705884,-0.055190932,0.17506348,0.2479806588286438,0.2479806588286438,0.7591733158561136,0.06741698,0.0941395,4.9868657e-05,0.14879389,0.6439105,1.0
120000,1.2994455,337.0769230769231,-0.011440209,0.142165,0.7317536064422743,0.7317536064422743,0.5743232602969959,0.06033976,0.100473605,4.9855542e-05,0.122641996,0.7496108,1.0
130000,1.304269,789.7058823529412,0.020270305,0.14969757,-1.6363104742452463,-1.6363104742452463,1.3192273037069862,0.059416536,0.09771495,4.9843602e-05,0.14552483,0.6367199,1.0
140000,1.2973677,416.04761904761904,-0.018481182,0.1582772,-0.4273490982371568,-0.4273490982371568,0.664053090303198,0.088177264,0.09758315,4.983189e-05,0.13657856,0.6103918,1.0
150000,1.3402429,854.9166666666666,-0.03289006,0.15084195,-2.0882831573895286,-2.0882831573895286,1.1951103378907408,0.09957781,0.09636639,4.9818977e-05,0.1394783,0.65425134,1.0
160000,1.4187834,259.1875,-0.06943679,0.14576131,-0.4034891965566203,-0.4034891965566203,0.45511042523910017,0.04597342,0.09650813,4.9805978e-05,0.12441722,0.63959605,1.0
170000,1.3814679,594.9090909090909,-0.08333043,0.14760897,-0.13383426345651153,-0.13383426345651153,0.9171771909194913,0.20779066,0.096304,4.9793056e-05,0.13713562,0.6385356,1.0
180000,1.2796838,517.6470588235294,0.025135867,0.15600444,0.6506702087896746,0.6506702087896746,0.8007398962269209,0.1254844,0.093987495,4.978017e-05,0.13989154,0.52371466,1.0
190000,1.3815236,245.1,-0.014535921,0.14643319,-0.7483542759505146,-0.7483542759505146,0.5198106208321406,0.040781472,0.09186919,4.9768612e-05,0.12710492,0.53739166,1.0
200000,1.4907316,486.57142857142856,-0.07030258,0.14486209,-0.7414969289623097,-0.7414969289623097,0.7424153388559651,0.08610072,0.09532908,4.9757033e-05,0.12252585,0.7313706,1.0
210000,1.5208311,586.3888888888889,-0.08995122,0.13063999,-0.4056349275165223,-0.4056349275165223,0.9359721464570612,0.1579139,0.098109506,4.974422e-05,0.11177321,0.76276535,1.0
220000,1.4773936,628.0769230769231,-0.042238478,0.12846184,0.38665130262704245,0.38665130262704245,0.8276997890456447,0.1293092,0.09281443,4.9731207e-05,0.122206226,0.63130003,1.0
230000,1.4223721,454.85714285714283,-0.016483424,0.1340758,-0.7664574271841522,-0.7664574271841522,0.5395628621446944,0.18849757,0.09445517,4.9718103e-05,0.12505129,0.53273964,1.0
240000,1.2977222,163.33333333333334,-0.057144355,0.14242966,-0.027451510692987104,-0.027451510692987104,0.28261195073529327,0.05738517,0.097853415,4.9706356e-05,0.12982315,0.4572521,1.0
250000,1.1815138,568.75,-0.026911909,0.16002378,0.3903396324056877,0.3903396324056877,0.8687749705551302,0.07770677,0.0909335,4.9694576e-05,0.14604133,0.40011317,1.0
260000,1.1092813,332.5,0.027891148,0.16674985,0.20152753601310888,0.20152753601310888,0.5332943166657869,0.03035824,0.09956254,4.9681308e-05,0.14216416,0.40448093,1.0
270000,1.0059329,343.0,-0.020729344,0.15797275,-1.1723123860478382,-1.1723123860478382,0.5078431936679408,0.04828598,0.10177817,4.9668284e-05,0.13166332,0.3287248,1.0
280000,1.0702537,281.06666666666666,-0.056246962,0.15047805,-0.9750706834408635,-0.9750706834408635,0.3376333919043342,0.025036916,0.09902373,4.965631e-05,0.12639254,0.3407492,1.0
290000,1.1741419,428.0,-0.104543865,0.1349987,-0.6510999417115323,-0.6510999417115323,0.5497087590170849,0.10988363,0.10417489,4.9644295e-05,0.12082138,0.45263878,1.0
300000,1.2863058,484.76,-0.13701811,0.13088676,-0.508000036852123,-0.508000036852123,0.7345262511844339,0.110863745,0.08941837,4.963112e-05,0.114164986,0.49207348,1.0
310000,1.3458015,225.94736842105263,-0.089193135,0.1235825,-0.8333207921966863,-0.8333207921966863,0.2913110534031148,0.14678898,0.09867574,4.961815e-05,0.11171003,0.57113534,1.0
320000,1.2442877,137.2941176470588,-0.099777445,0.11894095,-0.9310902230003301,-0.9310902230003301,0.16791731890674888,0.09250966,0.1008552,4.9606417e-05,0.1113772,0.5612888,1.0
330000,1.2976242,254.7,-0.11860333,0.12617888,-0.5744963513519167,-0.5744963513519167,0.38814771205652504,0.15448014,0.09318727,4.959474e-05,0.11241583,0.5177786,1.0
340000,1.3363183,1012.25,-0.16368881,0.117192574,-0.653511542314901,-0.653511542314901,1.2476961405016482,0.093022995,0.09534779,4.95817e-05,0.10751154,0.5977128,1.0
350000,1.2883021,270.875,-0.12627736,0.11716474,-1.0611408209659947,-1.0611408209659947,0.40780663552868646,0.026260618,0.093219005,4.956845e-05,0.10786085,0.57685924,1.0
360000,1.3104532,556.9230769230769,-0.12555873,0.11078646,-0.9942643729763018,-0.9942643729763018,0.5964079623540434,0.014540425,0.09709093,4.9556416e-05,0.104968116,0.56750286,1.0
370000,1.3740965,322.70588235294116,-0.08758957,0.1100211,-0.17740221983252358,-0.17740221983252358,0.431394671468297,0.23798788,0.09893988,4.95445e-05,0.10518646,0.637102,1.0
380000,1.3828856,728.3076923076923,-0.03964962,0.10844302,-0.27303458482456083,-0.27303458482456083,0.8522648735103887,0.15939866,0.09165101,4.9531274e-05,0.09915538,0.6626551,1.0
390000,1.2972786,292.4,-0.033353116,0.10632658,-0.7570652851753625,-0.7570652851753625,0.3561099513739464,0.06073124,0.09777802,4.951814e-05,0.10435555,0.5859431,1.0
400000,1.3380897,275.25,-0.07627754,0.102562174,-0.7671396970631644,-0.7671396970631644,0.32151270470876625,0.1707652,0.09662066,4.950647e-05,0.09274301,0.6237816,1.0
410000,1.3933005,1178.2631578947369,-0.014293066,0.093140304,-0.49041864688673226,-0.49041864688673226,1.593467440762508,0.08955152,0.09454519,4.949478e-05,0.09618429,0.6804088,1.0
420000,1.427439,391.7647058823529,-0.07182935,0.08768558,0.06111623489817669,0.06111623489817669,0.46003798578920607,0.03562855,0.09363107,4.9481583e-05,0.07478026,0.9249956,1.0
430000,1.4090128,726.8823529411765,-0.028978432,0.08103966,-0.1665748805161884,-0.1665748805161884,0.7660595287991728,0.027991656,0.09621183,4.946847e-05,0.07997263,0.84744185,1.0
