Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
10000,2.177944,166.2941176470588,-0.36632064,0.013945811,-7.756858285735635,-7.756858285735635,0.12010788761408013,0.34222937,0.100161165,9.998651e-05,0.10170841,1.3435985,1.0
20000,2.0565603,297.6111111111111,-1.1909492,0.094283365,-8.735338691402884,-8.735338691402884,0.5171257261707283,0.065659806,0.09773556,9.996196e-05,0.20809689,1.2911761,1.0
30000,1.8840209,505.9230769230769,-1.2248132,0.15907446,-12.590442235980715,-12.590442235980715,1.1377029293216765,0.061540384,0.09327082,9.993594e-05,0.19419816,1.3229325,1.0
40000,1.7907436,310.27272727272725,-0.82999915,0.14762187,-1.9349698261781172,-1.9349698261781172,0.6732847497544505,0.04563348,0.09679134,9.991279e-05,0.11169666,1.4102851,1.0
50000,1.6491739,479.56666666666666,-0.42085072,0.2030406,-4.348149712085826,-4.348149712085826,0.8200924339524742,0.08318115,0.097952954,9.9888966e-05,0.19418722,1.082742,1.0
60000,1.445084,301.6363636363636,-0.111151956,0.25123712,-1.2685660923868605,-1.2685660923868605,0.6401798865519508,0.065500945,0.098929,9.986232e-05,0.22986169,0.70937574,1.0
70000,1.3379211,221.5,0.056835953,0.23929374,0.6192470497126172,0.6192470497126172,0.3785234010138083,0.056104116,0.09834829,9.983565e-05,0.19120067,0.6521045,1.0
80000,1.3564084,507.8095238095238,0.113256626,0.21119045,-1.1504729367359798,-1.1504729367359798,0.9600857108030357,0.08085304,0.09256612,9.981238e-05,0.16886453,0.7165452,1.0
90000,1.3906935,364.0,0.15829067,0.19455332,-0.6426632870925676,-0.6426632870925676,0.6407621986497696,0.047946136,0.10109422,9.978791e-05,0.14963557,0.6508336,1.0
100000,1.2714995,549.2083333333334,0.14064105,0.17573944,-0.6730574482841974,-0.6730574482841974,0.9879822261621788,0.056489967,0.0951804,9.9761506e-05,0.13974561,0.5671474,1.0
110000,1.243776,160.61111111111111,0.061156854,0.16591403,-0.3104518652997083,-0.3104518652997083,0.2796767857960529,0.100904636,0.09061381,9.973776e-05,0.14773858,0.46973208,1.0
120000,1.3187903,210.9,-0.0066312905,0.16343305,-0.10667686831961873,-0.10667686831961873,0.2914541758858832,0.08075144,0.09951274,9.9714074e-05,0.14535564,0.50843936,1.0
130000,1.4592228,607.5769230769231,0.017389148,0.1525997,-0.9015962200980235,-0.9015962200980235,0.918599039190807,0.07652189,0.088700205,9.968787e-05,0.12391132,0.68470275,1.0
140000,1.4637467,425.8636363636364,0.020660507,0.14365378,-0.07626229006795987,-0.07626229006795987,0.6381958754655401,0.06532242,0.090571195,9.966168e-05,0.121639,0.75251454,1.0
150000,1.3577552,261.72727272727275,0.0074112364,0.14720412,0.37182523661388256,0.37182523661388256,0.36201405294493516,0.04349463,0.10042026,9.963574e-05,0.1409376,0.6715524,1.0
160000,1.2775978,538.1923076923077,-0.02959634,0.16168627,-0.2716809552479114,-0.2716809552479114,0.9324407224317278,0.06329622,0.0994714,9.961165e-05,0.15977407,0.5472143,1.0
170000,1.3368267,423.35714285714283,-0.001454255,0.16167536,0.05645526876322737,0.05645526876322737,0.61797942460024,0.047701634,0.0978651,9.9587975e-05,0.14652808,0.61104494,1.0
180000,1.2645768,527.2352941176471,0.00147306,0.16076322,-0.2733145096045333,-0.2733145096045333,0.7243262348587022,0.03952783,0.096451566,9.95612e-05,0.14542913,0.5176592,1.0
190000,1.3396094,430.2857142857143,0.025410218,0.15295458,0.9698538196555896,0.9698538196555896,0.6062322734589023,0.048730515,0.09536887,9.953739e-05,0.13487025,0.6627662,1.0
200000,1.3508852,532.7142857142857,0.012311563,0.14404398,-0.24773961645322262,-0.24773961645322262,0.7877728396699586,0.063857004,0.09987664,9.951399e-05,0.13820823,0.6559246,1.0
210000,1.2625242,411.625,-0.006546336,0.14936313,-1.8371710770892002,-1.8371710770892002,0.6854176132939755,0.028700162,0.0929745,9.948821e-05,0.13444284,0.6418484,1.0
